id,name,is_animation_studio,site_url,favorites
7246,Animax Broadcast Japan,False,https://anilist.co/studio/7246,2
7458,JIN,False,https://anilist.co/studio/7458,0
7067,D-techno,False,https://anilist.co/studio/7067,0
6667,Medicos Entertainment,False,https://anilist.co/studio/6667,2
6602,Sumzap,False,https://anilist.co/studio/6602,1
198,Gakken,False,https://anilist.co/studio/198,2
120,TNK,True,https://anilist.co/studio/120,228
6422,Line Webtoon,False,https://anilist.co/studio/6422,78
363,Topcraft,True,https://anilist.co/studio/363,6
6433,STORY Inc.,False,https://anilist.co/studio/6433,10
6340,Futabasha,False,https://anilist.co/studio/6340,1
6066,Asahi Shimbun,False,https://anilist.co/studio/6066,2
6709,Tohan,False,https://anilist.co/studio/6709,4
6745,Heart Company,False,https://anilist.co/studio/6745,0
392,Enterbrain,True,https://anilist.co/studio/392,2
7113,NTT Plala,False,https://anilist.co/studio/7113,0
6148,NUT,True,https://anilist.co/studio/6148,278
6818,81 Produce,False,https://anilist.co/studio/6818,4
882,Toranoana,False,https://anilist.co/studio/882,4
6639,exsa,True,https://anilist.co/studio/6639,3
6052,C2C,True,https://anilist.co/studio/6052,169
6309,Studio Bind,True,https://anilist.co/studio/6309,1713
6569,Nippon BS Broadcasting,False,https://anilist.co/studio/6569,3
6675,Ai Addiction,False,https://anilist.co/studio/6675,0
555,Studio Chizu,True,https://anilist.co/studio/555,293
7181,Rex Entertainment ,False,https://anilist.co/studio/7181,1
7180,ONIRO,False,https://anilist.co/studio/7180,0
7230,Asahi Broadcasting Corporation,False,https://anilist.co/studio/7230,0
6869,KYORAKU,False,https://anilist.co/studio/6869,2
559,Purple Cow Studio Japan,False,https://anilist.co/studio/559,6
84,Studio Rikka,True,https://anilist.co/studio/84,29
39,Daume,True,https://anilist.co/studio/39,22
6064,Infinite,False,https://anilist.co/studio/6064,6
721,GANSIS,False,https://anilist.co/studio/721,6
657,Lucky Paradise,False,https://anilist.co/studio/657,2
354,Encourage Films,True,https://anilist.co/studio/354,15
155,Animate,False,https://anilist.co/studio/155,2
24,Studio Fantasia,True,https://anilist.co/studio/24,18
91,feel.,True,https://anilist.co/studio/91,633
4399,project No.9,True,https://anilist.co/studio/4399,195
6364,D.N. Dream Partners,False,https://anilist.co/studio/6364,1
735,Slowcurve,False,https://anilist.co/studio/735,1
285,Four Some,False,https://anilist.co/studio/285,2
322,Bee Media,True,https://anilist.co/studio/322,6
6579,Ichijinsha,False,https://anilist.co/studio/6579,3
969,Ray,False,https://anilist.co/studio/969,1
7151,MUSE,False,https://anilist.co/studio/7151,3
6631,Grooove,False,https://anilist.co/studio/6631,0
6121,Pie in the sky,False,https://anilist.co/studio/6121,2
7075,NHN Comico,False,https://anilist.co/studio/7075,0
7077,C&I Entertainment,False,https://anilist.co/studio/7077,1
7076,Lawson,False,https://anilist.co/studio/7076,0
941,Iwatobi High School Swimming Club,False,https://anilist.co/studio/941,3
6623,Dentsu Meitetsu Communications,False,https://anilist.co/studio/6623,0
7074,Universal Music Japan,False,https://anilist.co/studio/7074,0
7179,Chaos Union,False,https://anilist.co/studio/7179,1
6217,REVOROOT,True,https://anilist.co/studio/6217,16
6497,Adult Swim,False,https://anilist.co/studio/6497,31
7119,MontBlanc Pictures,True,https://anilist.co/studio/7119,2
199,Studio Nue,False,https://anilist.co/studio/199,6
351,Big West,False,https://anilist.co/studio/351,0
