media_id,genre_id
100465,Mystery
20692,Action
20692,Drama
20692,Fantasy
123078,Comedy
123078,Slice of Life
105973,Comedy
123077,Comedy
123077,Slice of Life
21057,Action
21057,Mecha
21057,Psychological
21057,Sci-Fi
21056,Action
21056,Mecha
21056,Psychological
21056,Sci-Fi
17187,Action
17187,Psychological
17187,Sci-Fi
17187,Thriller
20776,Mecha
20776,Sci-Fi
19193,Action
19193,Psychological
19193,Romance
19193,Sci-Fi
19195,Action
19195,Psychological
19195,Sci-Fi
19191,Action
19191,Psychological
19191,Sci-Fi
120896,Action
120896,Sci-Fi
43,Action
43,Psychological
43,Sci-Fi
4672,Action
4672,Mecha
4672,Psychological
4672,Sci-Fi
31023,Action
31023,Psychological
31023,Sci-Fi
119514,Action
119514,Sci-Fi
119514,Thriller
31028,Action
31028,Psychological
31028,Sci-Fi
31026,Action
31026,Psychological
31026,Sci-Fi
111972,Action
111972,Adventure
111972,Drama
111972,Mecha
111972,Mystery
111972,Sci-Fi
467,Action
467,Mystery
467,Psychological
467,Sci-Fi
801,Action
801,Mystery
801,Psychological
801,Sci-Fi
2448,Action
2448,Mecha
2448,Sci-Fi
2449,Action
2449,Mecha
2449,Mystery
2449,Psychological
2449,Sci-Fi
10947,Comedy
10947,Mecha
10947,Sci-Fi
93023,Action
93023,Drama
93023,Mecha
93023,Psychological
93023,Sci-Fi
61935,Action
61935,Mecha
61935,Sci-Fi
37848,Action
37848,Mecha
37848,Sci-Fi
1566,Mystery
1566,Sci-Fi
106154,Action
106154,Mystery
106154,Sci-Fi
138899,Action
138899,Mystery
138899,Sci-Fi
117756,Action
117756,Mystery
117756,Psychological
117756,Sci-Fi
163143,Action
163143,Mystery
163143,Psychological
163143,Sci-Fi
10870,Comedy
10870,Mecha
10870,Sci-Fi
3447,Comedy
3447,Mecha
3447,Sci-Fi
10948,Comedy
10948,Mecha
10948,Sci-Fi
3485,Comedy
3485,Mecha
3485,Sci-Fi
10949,Comedy
10949,Mecha
10949,Sci-Fi
1335,Comedy
1335,Mecha
1335,Sci-Fi
468,Action
468,Psychological
468,Sci-Fi
40820,Drama
40820,Mystery
40820,Psychological
40820,Sci-Fi
18989,Action
18989,Mecha
18989,Sci-Fi
78321,Action
78321,Drama
78321,Sci-Fi
98607,Comedy
123056,Comedy
123056,Slice of Life
20691,Action
20691,Drama
20691,Fantasy
150005,Drama
100232,Action
100232,Drama
100232,Fantasy
100232,Horror
100232,Supernatural
73999,Action
73999,Drama
73999,Fantasy
73999,Horror
73999,Mystery
73999,Supernatural
85312,Action
85312,Drama
85312,Fantasy
85312,Supernatural
91593,Supernatural
89879,Action
89879,Comedy
89879,Slice of Life
85420,Action
85420,Drama
85199,Action
85199,Drama
85199,Fantasy
85199,Supernatural
20811,Action
20811,Fantasy
85476,Action
85476,Fantasy
18397,Action
18397,Drama
18397,Fantasy
18397,Mystery
19391,Action
19391,Comedy
19391,Drama
19391,Fantasy
103572,Comedy
103572,Drama
103572,Romance
103572,Slice of Life
109261,Comedy
109261,Drama
109261,Romance
109261,Slice of Life
100230,Comedy
100230,Drama
100230,Romance
131520,Comedy
